sex,hist_bias,proj_bias,seed,dgp,scenario
M,0.5623826158003375,-12.245459234619682,12,spec_linear,up1pc
F,-0.1523236901678637,-6.154019144055899,12,spec_linear,up1pc
M,0.5623826158003375,-10.280625350315319,12,spec_linear,down1pc
F,-0.1523236901678637,-4.51307452311886,12,spec_linear,down1pc
M,0.5623826158003375,-2.9280752452313603,12,spec_linear,quit
F,-0.1523236901678637,0.7175911758012908,12,spec_linear,quit
M,-0.4743851725487124,7.477310190609141,13,spec_linear,freeze
F,0.32612398852155816,4.933936997472094,13,spec_linear,freeze
M,-0.4743851725487124,8.054585645334763,13,spec_linear,up1pc
F,0.32612398852155816,5.638933701359358,13,spec_linear,up1pc
M,-0.4743851725487124,6.765340309933301,13,spec_linear,down1pc
F,0.32612398852155816,4.225996437092585,13,spec_linear,down1pc
M,-0.4743851725487124,1.0774321820595705,13,spec_linear,quit
F,0.32612398852155816,1.4158252769722985,13,spec_linear,quit
M,-0.2997387352062499,-9.287754690418492,14,spec_linear,freeze
F,0.07207954732796419,-2.175053868177357,14,spec_linear,freeze
M,-0.2997387352062499,-9.328073850295143,14,spec_linear,up1pc
F,0.07207954732796419,-2.005457210526006,14,spec_linear,up1pc
M,-0.2997387352062499,-9.317467062279,14,spec_linear,down1pc
F,0.07207954732796419,-2.3114294371285764,14,spec_linear,down1pc
M,-0.2997387352062499,-7.666577795658101,14,spec_linear,quit
F,0.07207954732796419,-1.878679959523071,14,spec_linear,quit
M,0.6111189378356271,8.610544340470454,15,spec_linear,freeze
F,-0.39688574602925974,11.334270053559292,15,spec_linear,freeze
M,0.6111189378356271,9.563233660900707,15,spec_linear,up1pc
F,-0.39688574602925974,11.882446113682269,15,spec_linear,up1pc
M,0.6111189378356271,7.994341191127313,15,spec_linear,down1pc
F,-0.39688574602925974,11.032944055626286,15,spec_linear,down1pc
M,0.6111189378356271,9.156871966578167,15,spec_linear,quit
F,-0.39688574602925974,12.84353145854073,15,spec_linear,quit
M,-0.7112533386475162,6.191736650836134,16,spec_linear,freeze
F,0.1961080816574809,9.969680320271381,16,spec_linear,freeze
M,-0.7112533386475162,6.72677093344733,16,spec_linear,up1pc
F,0.1961080816574809,10.727583515067856,16,spec_linear,up1pc
M,-0.7112533386475162,5.906236838764533,16,spec_linear,down1pc
F,0.1961080816574809,9.432591208353333,16,spec_linear,down1pc
M,-0.7112533386475162,8.616250058632158,16,spec_linear,quit
F,0.1961080816574809,9.99262195605855,16,spec_linear,quit
M,0.13824668639050025,8.14972171722357,17,spec_linear,freeze
F,-0.0041796972157893105,11.133104851830621,17,spec_linear,freeze
M,0.13824668639050025,9.420769073868664,17,spec_linear,up1pc
F,-0.0041796972157893105,12.189832194970153,17,spec_linear,up1pc
M,0.13824668639050025,7.359789663466698,17,spec_linear,down1pc
F,-0.0041796972157893105,10.234920898891724,17,spec_linear,down1pc
M,0.13824668639050025,6.180035797442131,17,spec_linear,quit
F,-0.0041796972157893105,8.85847245489948,17,spec_linear,quit
M,-0.4563445085810768,-15.59863422903321,18,spec_linear,freeze
F,-0.1632594250449639,-13.920611510994378,18,spec_linear,freeze
M,-0.4563445085810768,-15.96839185207727,18,spec_linear,up1pc
F,-0.1632594250449639,-14.146282067251088,18,spec_linear,up1pc
M,-0.4563445085810768,-15.247749159890791,18,spec_linear,down1pc
F,-0.1632594250449639,-13.657595747433282,18,spec_linear,down1pc
M,-0.4563445085810768,-10.69958932386821,18,spec_linear,quit
F,-0.1632594250449639,-10.87838897779044,18,spec_linear,quit
M,-0.4622965624773098,2.0196812234891968,19,spec_linear,freeze
F,0.4379923068873479,1.7329386973334127,19,spec_linear,freeze
M,-0.4622965624773098,2.9912971075016674,19,spec_linear,up1pc
F,0.4379923068873479,2.2200343622418246,19,spec_linear,up1pc
M,-0.4622965624773098,1.1777031146449417,19,spec_linear,down1pc
F,0.4379923068873479,1.5102695258207717,19,spec_linear,down1pc
M,-0.4622965624773098,3.259860494489027,19,spec_linear,quit
F,0.4379923068873479,4.396023599053734,19,spec_linear,quit
M,-0.17230317862252315,-13.7876912799054,20,spec_linear,freeze
F,-0.31364508978650124,-15.858695720004652,20,spec_linear,freeze
M,-0.17230317862252315,-14.545371227279906,20,spec_linear,up1pc
F,-0.31364508978650124,-16.93917461297247,20,spec_linear,up1pc
M,-0.17230317862252315,-13.116495598703997,20,spec_linear,down1pc
F,-0.31364508978650124,-14.707360329775419,20,spec_linear,down1pc
M,-0.17230317862252315,-6.25529368364355,20,spec_linear,quit
F,-0.31364508978650124,-7.6955254172068415,20,spec_linear,quit
