causa2,año,mujer,edad,muertes_suavizadas
esófago,2006,0,89,1.803126353756041
esófago,2006,1,0,0.003617737783352128
esófago,2006,1,1,0.0033453142075123925
esófago,2006,1,2,0.003095631864265584
esófago,2006,1,3,0.002868955123501583
esófago,2006,1,4,0.0026640613574274766
esófago,2006,1,5,0.0024805868898553902
esófago,2006,1,6,0.002316873040793134
esófago,2006,1,7,0.002172175756279618
esófago,2006,1,8,0.002044832806854352
esófago,2006,1,9,0.0019341017642562617
esófago,2006,1,10,0.0018385271804294634
esófago,2006,1,11,0.0017575574526400256
esófago,2006,1,12,0.0016900963747259639
esófago,2006,1,13,0.0016360447801363122
esófago,2006,1,14,0.0015947158586302069
esófago,2006,1,15,0.0015665623656780279
esófago,2006,1,16,0.0015513964049903284
esófago,2006,1,17,0.0015503926665581596
esófago,2006,1,18,0.0015640634223566114
esófago,2006,1,19,0.0015946540096155124
esófago,2006,1,20,0.0016437834795804316
esófago,2006,1,21,0.0017153758323858034
esófago,2006,1,22,0.001812969746329643
esófago,2006,1,23,0.0019432985437596545
esófago,2006,1,24,0.0021134738819536336
esófago,2006,1,25,0.002335517102872085
esófago,2006,1,26,0.0026235704990386194
esófago,2006,1,27,0.0029997147853720106
esófago,2006,1,28,0.0034923719461218464
esófago,2006,1,29,0.004143839701875314
esófago,2006,1,30,0.005012455244415983
esófago,2006,1,31,0.006182484718362523
esófago,2006,1,32,0.007775858584553184
esófago,2006,1,33,0.009960007774865852
esófago,2006,1,34,0.012984434102649614
esófago,2006,1,35,0.01716462921247491
esófago,2006,1,36,0.022965546078436625
esófago,2006,1,37,0.03084104051211121
esófago,2006,1,38,0.04138058440487868
esófago,2006,1,39,0.05455312619651004
esófago,2006,1,40,0.06995230441219337
esófago,2006,1,41,0.08563308655640109
esófago,2006,1,42,0.09880619376453681
esófago,2006,1,43,0.10802854834280114
esófago,2006,1,44,0.11239401071119183
esófago,2006,1,45,0.11478830177800436
esófago,2006,1,46,0.11843439898681107
esófago,2006,1,47,0.12587545313554646
esófago,2006,1,48,0.14074672049279427
esófago,2006,1,49,0.16398148237856094
esófago,2006,1,50,0.19667470704031573
esófago,2006,1,51,0.2375492290251139
esófago,2006,1,52,0.2798522243567257
esófago,2006,1,53,0.3206334945057778
esófago,2006,1,54,0.3556878676923686
esófago,2006,1,55,0.3886899063300643
esófago,2006,1,56,0.4326187216954464
esófago,2006,1,57,0.4957092722057931
esófago,2006,1,58,0.5976379347633435
esófago,2006,1,59,0.7522662169548935
esófago,2006,1,60,0.9674966270278884
esófago,2006,1,61,1.249749164172401
esófago,2006,1,62,1.5475029083987477
esófago,2006,1,63,1.8200366673240258
esófago,2006,1,64,1.991369440121876
esófago,2006,1,65,2.031649468151821
esófago,2006,1,66,1.9622767205962266
esófago,2006,1,67,1.809646992319488
esófago,2006,1,68,1.643922990371865
esófago,2006,1,69,1.4877055152544703
esófago,2006,1,70,1.394383809400151
esófago,2006,1,71,1.3660463456485776
esófago,2006,1,72,1.4301256089457066
esófago,2006,1,73,1.6012865147638105
esófago,2006,1,74,1.8791981724068174
esófago,2006,1,75,2.287668764716556
esófago,2006,1,76,2.7370262798636906
esófago,2006,1,77,3.172975073691856
esófago,2006,1,78,3.4930730893802457
esófago,2006,1,79,3.6426132133743283
esófago,2006,1,80,3.724632707970039
esófago,2006,1,81,3.7799591550952805
esófago,2006,1,82,3.913681644769734
esófago,2006,1,83,4.167111444675529
esófago,2006,1,84,4.420682235165555
esófago,2006,1,85,4.604564936449671
esófago,2006,1,86,4.439189083951326
esófago,2006,1,87,3.8572446949683115
esófago,2006,1,88,3.0350784676795324
esófago,2006,1,89,2.1696432847746454
esófago,2007,0,0,0.004009747868906034
esófago,2007,0,1,0.0036201646262925104
esófago,2007,0,2,0.003270587921607238
esófago,2007,0,3,0.0029588721306316617
esófago,2007,0,4,0.0026815312879196304
esófago,2007,0,5,0.002436025187576484
esófago,2007,0,6,0.002218915078656617
esófago,2007,0,7,0.0020277004559088696
esófago,2007,0,8,0.0018594111749012084
esófago,2007,0,9,0.0017119738513317368
esófago,2007,0,10,0.0015829537616545715
esófago,2007,0,11,0.0014707623875425532
esófago,2007,0,12,0.0013735293378193626
esófago,2007,0,13,0.0012903078208919548
esófago,2007,0,14,0.0012196922606200825
esófago,2007,0,15,0.0011613073302300613
esófago,2007,0,16,0.0011141761208129629
esófago,2007,0,17,0.0010785265161033768
esófago,2007,0,18,0.0010538597243782222
esófago,2007,0,19,0.0010411642464430357
esófago,2007,0,20,0.0010405963061331618
esófago,2007,0,21,0.0010541998744473895
esófago,2007,0,22,0.001083234841877946
esófago,2007,0,23,0.0011315349904028231
esófago,2007,0,24,0.0012024979971327707
esófago,2007,0,25,0.0013034477347173411
esófago,2007,0,26,0.0014423387077333305
esófago,2007,0,27,0.0016338218388976134
esófago,2007,0,28,0.0018963437087565385
esófago,2007,0,29,0.0022616696384329875
esófago,2007,0,30,0.0027744983487835865
esófago,2007,0,31,0.0035105004954244057
esófago,2007,0,32,0.0045860094174341795
esófago,2007,0,33,0.0061981026116251225
esófago,2007,0,34,0.00867356296929912
esófago,2007,0,35,0.012575928775132193
esófago,2007,0,36,0.01889670086306469
esófago,2007,0,37,0.029341923240270747
esófago,2007,0,38,0.04700250059864954
esófago,2007,0,39,0.07677881450955669
esófago,2007,0,40,0.12698799286045992
esófago,2007,0,41,0.2079730531812216
esófago,2007,0,42,0.33212727642061496
