causa,mujer,edad,anio,casos
cavidad oral y faringe,0,12,2018,0.12150770155771283
cavidad oral y faringe,0,12,2019,0.1340179834652618
cavidad oral y faringe,0,12,2020,0.14182526963051661
cavidad oral y faringe,0,12,2021,0.14921931310828432
cavidad oral y faringe,0,12,2022,0.13292719640437856
cavidad oral y faringe,0,13,1998,0.2199569970758894
cavidad oral y faringe,0,13,1999,0.18308706402499372
cavidad oral y faringe,0,13,2000,0.15012273658157993
cavidad oral y faringe,0,13,2001,0.12106401474564461
cavidad oral y faringe,0,13,2002,0.0726606291960459
cavidad oral y faringe,0,13,2003,0.05656384025506868
cavidad oral y faringe,0,13,2004,0.043425878363130804
cavidad oral y faringe,0,13,2005,0.033261356513783154
cavidad oral y faringe,0,13,2006,0.025146750873565094
cavidad oral y faringe,0,13,2007,0
cavidad oral y faringe,0,13,2008,0
cavidad oral y faringe,0,13,2009,0
cavidad oral y faringe,0,13,2010,0
cavidad oral y faringe,0,13,2011,0
cavidad oral y faringe,0,13,2012,0.06085843396439224
cavidad oral y faringe,0,13,2013,0.09343858759109097
cavidad oral y faringe,0,13,2014,0.10403250334388649
cavidad oral y faringe,0,13,2015,0.10234558565302951
cavidad oral y faringe,0,13,2016,0.10666093425319899
cavidad oral y faringe,0,13,2017,0.11498270220074325
cavidad oral y faringe,0,13,2018,0.12957499744777226
cavidad oral y faringe,0,13,2019,0.14021621642888482
cavidad oral y faringe,0,13,2020,0.14671155333906233
cavidad oral y faringe,0,13,2021,0.1539870408565953
cavidad oral y faringe,0,13,2022,0.13687322875347985
cavidad oral y faringe,0,14,1998,0.24872177135870158
cavidad oral y faringe,0,14,1999,0.21299486809843643
cavidad oral y faringe,0,14,2000,0.18082230910871802
cavidad oral y faringe,0,14,2001,0.15220409438954324
cavidad oral y faringe,0,14,2002,0.09631948830108572
cavidad oral y faringe,0,14,2003,0.08002420038310928
cavidad oral y faringe,0,14,2004,0.06642162929991563
cavidad oral y faringe,0,14,2005,0.055835592734311
cavidad oral y faringe,0,14,2006,0.04842637771333151
cavidad oral y faringe,0,14,2007,0
cavidad oral y faringe,0,14,2008,0
cavidad oral y faringe,0,14,2009,0
cavidad oral y faringe,0,14,2010,0
cavidad oral y faringe,0,14,2011,0
cavidad oral y faringe,0,14,2012,0.10412340009151304
cavidad oral y faringe,0,14,2013,0.11990605170276876
cavidad oral y faringe,0,14,2014,0.11421776515594138
cavidad oral y faringe,0,14,2015,0.11257687233999904
cavidad oral y faringe,0,14,2016,0.11761192942204271
cavidad oral y faringe,0,14,2017,0.12506832487835162
cavidad oral y faringe,0,14,2018,0.13655258273733664
cavidad oral y faringe,0,14,2019,0.13107565325796622
cavidad oral y faringe,0,14,2020,0.13269604853802772
cavidad oral y faringe,0,14,2021,0.1380593638208873
cavidad oral y faringe,0,14,2022,0.12173147328968821
cavidad oral y faringe,0,15,1998,0.28821738534586494
cavidad oral y faringe,0,15,1999,0.253733900912516
cavidad oral y faringe,0,15,2000,0.2224534994127812
cavidad oral y faringe,0,15,2001,0.19437618084665736
cavidad oral y faringe,0,15,2002,0.1809407864481349
cavidad oral y faringe,0,15,2003,0.1578071556946661
cavidad oral y faringe,0,15,2004,0.13809276797308262
cavidad oral y faringe,0,15,2005,0.12262707107035346
cavidad oral y faringe,0,15,2006,0.11182546452844924
cavidad oral y faringe,0,15,2007,0.10193872671618132
cavidad oral y faringe,0,15,2008,0.09302581379644072
cavidad oral y faringe,0,15,2009,0.09574301974572909
cavidad oral y faringe,0,15,2010,0.09756023609617924
cavidad oral y faringe,0,15,2011,0.1164102279594625
cavidad oral y faringe,0,15,2012,0.1182369714836547
cavidad oral y faringe,0,15,2013,0.10996380690017123
cavidad oral y faringe,0,15,2014,0.10332885550102057
cavidad oral y faringe,0,15,2015,0.10268049870988707
cavidad oral y faringe,0,15,2016,0.10741188258122267
cavidad oral y faringe,0,15,2017,0.06632360255098366
cavidad oral y faringe,0,15,2018,0.05964471517302386
cavidad oral y faringe,0,15,2019,0.04885683325895068
cavidad oral y faringe,0,15,2020,0.04822056827068123
cavidad oral y faringe,0,15,2021,0.049460285915318425
cavidad oral y faringe,0,15,2022,0.08590043995403136
cavidad oral y faringe,0,16,1998,0.32408686298130396
cavidad oral y faringe,0,16,1999,0.29134579505536884
cavidad oral y faringe,0,16,2000,0.2614565487261176
cavidad oral y faringe,0,16,2001,0.23441912399354714
cavidad oral y faringe,0,16,2002,0.2244211330653845
